Bahnhof               | id 
Bad Tölz Im Farchet (RVO) | de:09173:9312
Bad Tölz Jahnschule | de:09173:9313
Bad Tölz Jahnstraße/AOK | de:09173:9314
Bad Tölz Jahnstraße/Turnhalle | de:09173:4982
Bad Tölz Kardinal-Wendl-Platz | de:09173:9327
Bad Tölz Karwendelsiedlung / TÜV | de:09173:9326
Bad Tölz Kaufland | de:09173:9324
Bad Tölz Kolpingstraße | de:09173:9338
Bad Tölz Kurhaus | de:09173:9334
Bad Tölz Kurviertel/Alpamare | de:09173:9336
Bad Tölz Kyreinstraße | de:09173:9331
Bad Tölz Lenggrieser Straße | de:09173:9340
Bad Tölz Lindenhof | de:09173:4969
Bad Tölz Ludwigstr. / Tankstelle | de:09173:9333
Bad Tölz Maierbräugasteig | de:09173:9317
Bad Tölz Manfredhof | de:09173:9341
Bad Tölz Max-Höfler-Platz | de:09173:4944
Bad Tölz Maxlweiher | de:09173:9318
Bad Tölz Moraltpark | de:09173:9325
Bad Tölz Oberes Griesfeld | de:09173:9328
Bad Tölz Schulzentrum | de:09173:4941
Bad Tölz Sonnleitenstraße | de:09173:9330
Bad Tölz Stadtwerke / Lenggrieser Str. | de:09173:4959
Bad Tölz ZOB Isarkai | de:09173:4943
Baierbrunn Baierbrunn | de:09184:2550
Baierlach Baierlach | de:09173:4797
Baiernrain Baiernrain | de:09173:4909
Baindlkirch Feuerwehrhaus | de:09771:1180
Baindlkirch Fischerwirt | de:09771:1179
Bairawies Bairawies, Abzw. | de:09173:4964
Baldham Allauchplatz | de:09175:4137
Baldham Ärztehaus | de:09175:4049
Baldham Baldham | de:09175:4010
Baldham Baldham Dorf | de:09175:4177
Baldham Baldham Nord | de:09175:4276
Baldham Baldham Süd (Bahnhofspatz) | de:09175:4127
Baldham Franz-Kamerseder-Straße | de:09175:4051
Baldham Geranienweg | de:09175:4278
Baldham Heideweg | de:09175:4055
Baldham Heinrich-Schütz-Straße | de:09175:3927
Baldham Hochwaldstraße | de:09175:4074
Baldham Humboldt-Gymnasium | de:09175:4145
Baldham Ingelsberger Weg | de:09175:4277
Baldham Johann-Strauß-Straße | de:09175:9005
Baldham Karwendelplatz | de:09175:4061
Baldham Mondstraße | de:09175:3933
Baldham Realschule | de:09175:4065
Baldham Reiterhof | de:09175:4262
Baldham Schlehdornweg | de:09175:4053
Baldham Wallbergstraße | de:09175:3929
Balkham Balkham | de:09175:4220
Bauhof Bauhof, Abzw. | de:09175:4160
Baumberg (Frauenneuharting) Baumberg | de:09175:149
Baumgarten (Nandlstadt) Baumgarten | de:09178:3034
Baumhau Baumhau, Abzw. | de:09175:4152
Baustarring Baustarring | de:09177:3808
Bayerzell Bayerzell | de:09174:7263
Beigarten Beigarten, Abzw. | de:09184:2484
Benediktbeuern Benediktbeuern | de:09173:4880
Berbling Berbling | de:09187:40872
Berganger Braunautal | de:09175:4230
Berganger Rotter Straße | de:09175:4300
Berg (b Dietramszell) Berg | de:09173:4907
Bergen (Kr Freising) Bergen | de:09178:3218
Bergen (Kr Freising) Inkofener Str. 12 | de:09178:9406
Berg (Gars am Inn) Berg (Gars am Inn) | de:09183:6164
Bergham (Fraunberg) Bergham | de:09177:3805
Bergham (Otterfing) Bergham | de:09182:43343
Bergham (Otterfing) Gh. Feickert | de:09182:69356
Bergham (Otterfing) Kölblweg | de:09182:69357
Bergham (Otterfing) Stützenfeldweg | de:09182:45008
Bergham (Taufkirchen) Edelweißstraße | de:09184:2401
Bergham (Taufkirchen) Im Mitterfeld | de:09184:2342
Bergham (Taufkirchen) Riegerweg | de:09184:2391
Bergham (Taufkirchen) Rosenstraße | de:09184:2402
Bergham (Taufkirchen) Veilchenweg | de:09184:2387
Berghaselbach Berghaselbach, Nr. 23 | de:09178:3086
Berghaselbach Ziegelei | de:09178:3088
Berg (Kirchdorf) Abzw. Raketenstellung | de:09183:80968
Berg (Kirchdorf) Berg | de:09183:80969
Berg (Kirchdorf) Ortsanfang | de:09183:80967
Bergkirchen (Kr Dachau) Breitenau Abzw. | de:09174:6999
Bergkirchen (Kr Dachau) Breitenau | de:09174:6860
Bergkirchen (Kr Dachau) GADA West | de:09174:7067
Bergkirchen (Kr Dachau) Kreuzackerstr./GADA | de:09174:6817
Bergkirchen (Kr Dachau) Mühlstraße | de:09174:6818
Bergkirchen (Kr Dachau) Römerstraße | de:09174:6822
Bergkirchen (Kr Dachau) Schule | de:09174:6875
Bergkramer Bergkramerhof | de:09173:4808
Berg (Kranzberg) Abzw. Kühnhausen | de:09178:9614
Berg (Kranzberg) Berg | de:09178:2795
Berglern Kirche | de:09177:3414
Berglern Sattlerweg | de:09177:3407
Bergmühle (Rudelzhausen) Bergmühle | de:09178:3054
Berg (Rudelzhausen) Berg | de:09178:3154
Berg (Starnberger See) Abzw. Leoni | de:09188:5458
Berg (Starnberger See) Berg (Schiff) | de:09188:9921
Berg (Starnberger See) Grafstraße | de:09188:5362
Berg (Starnberger See) Kreuzweg | de:09188:5462
Berg (Starnberger See) Lohacker | de:09188:5347
Berg (Steinhöring) Berg | de:09175:4314
Bernried (Starnberger See) Bernried (Schiff) | de:09190:90007
Besenbuchbach Besenbuchbach | de:09183:6692
Beuerberg (Kr TÖL) Anglberg | de:09173:4811
Beuerberg (Kr TÖL) Bahnhofstraße | de:09173:4804
Beuerberg (Kr TÖL) Bruggen | de:09173:4802
Biberbach (Röhrmoos) Maibaum | de:09174:7376
Biberbach (Röhrmoos) Schulstraße | de:09174:7374
Biberkor Oberbiberkor | de:09188:5376
Bibermühle Bibermühle | de:09173:9383
Biburg (Alling) Biburg | de:09179:6388
Biburg (Gars am Inn) Biburg (Gars am Inn) | de:09183:6047
Bichl (Bad Tölz) Bichl | de:09173:4720
Bichl (Haag/Obb.) Bichl | de:09183:80424
Biedenbach Biedenbach | de:09274:3721
Bierbichl Bierbichl | de:09173:4801
Billingsdorf Jägersdorfer Straße | de:09178:3078
Billingsdorf Wolframstraße | de:09178:3094
Birkach (Obb.) Haus-Nr. 36 | de:09175:4109
Birkach (Obb.) Haus-Nr. 3 | de:09175:4006
Birkmaier (Kr Mühldorf) Birkmaier | de:09183:6725
Blindham (Obb.) Blindham | de:09184:4427
Blümstatt Blümstatt | de:09183:6043
Bobenstätt Bobenstätt | de:09183:80884
Bockhof (Obb.) Bockhof | de:09186:8518
Bockhorn (Obb.) Bockhorn | de:09177:3614
Bocksleiten Bocksleiten | de:09173:9385
Brandl (Kr TÖL) Abzw.Brandl | de:09173:4937
Brandstätt (Edling) Brandstätt Abzw. | de:09187:41369
Brandstätt (Edling) Brandstätt (Pfaffing) | de:09187:41373
Breitasch Breitasch | de:09177:3125
Breitbrunn (Ammersee) Breitbrunn (Schiff) | de:09188:9932
Breitbrunn (Ammersee) Bucher Weg | de:09188:5428
Breitbrunn (Ammersee) Neue Siedlung | de:09188:5424
Breitbrunn (Ammersee) Obstgarten | de:09188:5426
Breitbrunn (Edling) Abzw. Breitbrunn | de:09187:41384
Breitenberg (Kr Rosenheim) Breitenberg | de:09187:40866
Breitenwiesen (Weichs) Breitenwiesen, Abzw. | de:09174:7232
Breitmoos Breitmoos | de:09187:43689
Brennermühle Freieneck | de:09177:2086
Bruckhof (Emmering) Bruckhof | de:09175:4146
Bruck (Kr EBE) Bruck | de:09175:4166
Bruck (Kr EBE) Doblbach 1 | de:09175:4287
Bruck (Lengdorf) Bruck, Abzw. | de:09177:3711
Bruckmühl (Mangfall) Abzw. Sonnenweg/Rösnstraße | de:09187:41228
Bruckmühl (Mangfall) Bruckmühl | de:09187:41227
Bruckmühl (Mangfall) Bruckmühl, Gymnasium | de:09187:41224
Bruckmühl (Mangfall) Gh. Brückenwirt | de:09187:41225
Bruckmühl (Mangfall) Göttingerstr./Netto | de:09187:79014
Bruckmühl (Mangfall) Vagener Str./Sonnenstr. | de:09187:47071
Bruck (Velden/Vils) Bruck (Velden/Vils) | de:09274:3710
Brunnhof (Pfaffenhofen/Ilm) Köhlhof | de:09186:2489
Brunnthal (b München) Abzw. Gudrunsiedlung | de:09184:2306
Brunnthal (b München) Abzw. Waldbrunn | de:09184:2304
Brunnthal (b München) Bergstraße | de:09184:2307
Brunnthal (b München) Brunnthal, Ort | de:09184:2324
Brunnthal (b München) Eugen-Sänger-Ring | de:09184:2317
